FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,CD4,CD8,CD25,FoxP3,BV786-A,CD3,PE-A,IL2,PerCP-Cy5-5-A,APC-A,CD44,APC-Cy7-A,Time,source_file,Alexa Fluor 488-A,PerCP-A,BV421-A,BV510-A,BV605-A,BV650-A,BB515-A,PE-CF594-A,APC-R700-A,anomaly,true_label,feat_0,feat_1,feat_2,feat_3,feat_4,0,1,2,cluster,UMAP_1,UMAP_2
70926.02,72043.78,206869.05,31698.389,33254.62,111421.99,100.51485,-52.553932,289.99545,3205.3896,1198.3898,3.0802662,54.815063,601.4802,2193.8633,12109.298,2134.4153,8154.463,4.8505683,gated_data.csv,,,,,,,,,,0,1,-0.12429698,-0.014440375,0.21466276,-0.010225102,-0.016981786,,,,,,
53186.945,52213.24,215910.8,50068.234,51884.46,133933.31,91.314644,335.38367,307.19925,1302.697,1414.9531,29.778576,57.36771,278.751,992.32526,1372.2599,789.9886,7880.8584,4.9022884,gated_data.csv,,,,,,,,,,1,1,0.6042608,0.29392672,2.275502,0.089345224,-0.0062016854,,,,,,
78889.52,78355.664,205429.1,31919.418,33173.68,109518.36,125.291756,144.57195,98.186356,135.20721,648.2605,21.873755,24.463303,32.35049,-56.857704,281.42398,369.01157,5008.099,5.0432806,gated_data.csv,,,,,,,,,,0,1,0.23454218,-0.06560199,0.34045386,0.013398709,-0.013002051,,,,,,
54146.434,57622.98,203623.97,38386.047,38535.582,122294.7,131.17194,156.63956,560.3797,3441.1672,1379.0974,-18.8149,227.66827,514.97754,2338.3706,5520.2437,1364.9211,8178.1104,5.2293444,gated_data.csv,,,,,,,,,,0,1,0.31220204,0.073278666,1.002904,0.050522603,-0.011459159,,,,,,
57239.0,58137.67,213805.47,38986.957,41381.914,118091.85,297.59747,1531.6125,1319.3381,1657.1931,689.6631,233.9147,472.42856,326.04025,176.09572,522.8412,328.53287,2478.4177,5.935128,gated_data.csv,,,,,,,,,,0,1,0.39383,0.2913706,1.8278104,0.039257575,-0.012431568,,,,,,
66469.52,65806.42,217636.34,53410.57,53489.117,141522.66,66.298164,287.9203,212.66272,743.4752,990.2899,28.189365,83.7247,164.36201,681.37463,2842.5889,733.18024,6923.816,5.9528565,gated_data.csv,,,,,,,,,,1,1,0.78335935,0.44352746,2.8086216,0.12733038,-0.004129774,,,,,,
45537.06,45242.41,216448.62,51512.13,52396.04,131964.12,-1.3152779,33.85333,735.06885,3237.9285,614.3508,54.267727,70.10937,625.1135,2765.9736,3342.9365,415.96545,1510.6655,6.2379284,gated_data.csv,,,,,,,,,,0,1,0.21931784,-0.0590146,0.2897888,0.01575793,-0.014033697,,,,,,
49075.152,49248.44,210457.83,37795.83,39387.793,114276.36,-62.73304,54.115856,326.52112,3882.529,774.8131,-20.650497,91.90276,697.2067,3101.338,1152.8549,275.23642,2656.4534,6.2733126,gated_data.csv,,,,,,,,,,0,1,-0.030851206,0.08113705,0.28783396,-0.012536757,-0.015538485,,,,,,
79638.52,77324.41,215616.14,42612.53,44078.44,121706.87,126.65841,98.78349,-85.493065,168.97542,1851.1107,7.6589875,-65.80625,-53.094727,-19.365578,1242.389,1013.0902,13359.842,6.2810884,gated_data.csv,,,,,,,,,,0,1,-0.19561185,-0.17645681,-0.6660861,-0.04073933,-0.021483287,,,,,,
28484.506,28459.111,178651.47,50963.004,52581.535,131341.0,79.70325,-83.20563,584.487,3634.2273,905.94055,47.952812,55.441727,795.4572,2705.4446,4592.9907,789.0101,3557.9385,6.374112,gated_data.csv,,,,,,,,,,0,1,-0.13908385,-0.21362442,-0.594764,-0.03445126,-0.020824755,,,,,,
42938.98,44176.383,203991.97,58038.844,61635.367,154599.0,330.6398,1749.6056,1566.0958,2994.7734,1752.7507,230.9546,312.59198,311.91156,497.7113,654.5728,535.71375,3026.9849,6.5301123,gated_data.csv,,,,,,,,,,0,1,-0.1889086,-0.08731287,-0.46300295,0.002778307,-4.511245e-05,,,,,,
78303.62,78605.664,210114.6,36141.74,37237.53,121381.69,44.88767,197.31847,-94.70001,-134.61584,1290.2877,-11.83962,-37.721577,-24.000467,15.875073,1093.6003,547.4636,8200.942,6.5514402,gated_data.csv,,,,,,,,,,0,1,-0.01517823,-0.10437658,-0.035598624,-0.013384805,-0.016567038,,,,,,
74768.4,80747.586,177171.25,31247.451,33352.72,110569.266,-81.2613,-38.257435,-22.988771,-74.39899,439.70074,-11.701949,15.323664,-10.187579,23.395662,606.4072,364.92526,4364.3984,6.5946403,gated_data.csv,,,,,,,,,,0,1,0.24158114,0.15464854,1.3250686,0.027738912,-0.009953848,,,,,,
47811.62,54323.797,131618.75,26195.484,26930.22,91102.83,145.93382,150.31328,557.48706,4637.784,1167.5665,55.53766,224.70372,677.1069,3032.4568,18199.432,3149.9514,4294.1084,6.5960646,gated_data.csv,,,,,,,,,,0,1,-0.24108575,-0.0068974798,-0.44879138,-0.028419817,-0.018880395,,,,,,
77430.664,83562.695,186385.14,43638.305,45995.0,124473.5,97.64887,-5.947344,-52.21082,204.46896,1048.0477,-13.399879,63.622826,-50.937897,10.33488,1338.5555,924.5345,8473.622,6.6115203,gated_data.csv,,,,,,,,,,0,1,-0.3622399,-0.111772455,-0.7903881,-0.050890606,-0.022354856,,,,,,
76180.37,81677.06,191821.61,37564.523,38682.625,123620.02,65.104965,164.72888,-22.70284,292.93393,865.2813,-1.10136,-38.685265,-6.4704895,110.355736,878.92474,562.99554,6197.92,6.6318803,gated_data.csv,,,,,,,,,,0,1,-0.21664046,0.059202887,-0.4444592,-0.030176679,-0.018367313,,,,,,
40888.66,40564.21,209201.8,39839.824,40427.176,120488.81,-73.712746,-45.86317,776.7574,3721.722,863.6229,-16.703959,198.95439,795.8702,3540.7805,6591.0117,999.2822,1457.8801,6.772793,gated_data.csv,,,,,,,,,,1,1,0.7786224,0.46923319,2.4915814,0.08217248,-0.0047758417,,,,,,
48670.527,48780.746,203556.8,48307.49,49251.01,137604.05,120.65448,385.74936,458.40894,2410.2183,294.43134,34.364002,102.97421,506.4308,1735.1008,826.9004,60.50575,13.243897,6.912712,gated_data.csv,,,,,,,,,,0,1,0.41130668,0.28598723,1.6949928,0.06105317,-0.010910002,,,,,,
63278.2,63819.83,207447.61,33868.215,34145.188,113914.73,93.16785,148.95247,58.1785,303.92398,1008.07477,25.940779,-61.125477,-17.529978,-15.556708,879.46844,701.54156,10559.655,7.357688,gated_data.csv,,,,,,,,,,0,1,-0.021656921,-0.16429862,-0.17840129,-0.0023998062,-0.018977769,,,,,,
57904.605,61396.383,193474.36,24616.484,25355.262,88192.27,2.0688784,90.4177,861.2211,3023.195,1022.7716,-1.5143698,613.31976,1028.3489,3511.732,2404.4312,315.18155,1145.516,7.3825364,gated_data.csv,,,,,,,,,,0,1,0.114923075,0.10779544,0.35783526,0.003695033,-0.014060084,,,,,,
77192.42,78119.04,208077.48,34389.633,34868.105,110582.48,76.28709,228.83786,16.664669,-98.245544,1449.0931,16.276428,30.754642,-54.150196,-115.642784,2202.857,1020.2659,12681.458,7.4713607,gated_data.csv,,,,,,,,,,0,1,-0.089530595,-0.104549795,-0.46812755,-0.03709051,-0.017854268,,,,,,
55856.082,57361.094,199746.84,27079.564,28424.002,110446.53,26.185507,210.26442,692.5224,5144.5664,742.2171,1.2691181,128.06865,1096.8168,3923.3193,3616.8125,752.58746,251.89516,7.5464563,gated_data.csv,,,,,,,,,,0,1,0.31824583,0.24392837,1.3568732,0.046979822,-0.015516365,,,,,,
43636.387,43835.83,213068.75,45414.39,47424.332,121248.21,115.89429,214.94304,593.5424,3231.4663,791.0539,-11.059489,208.03572,581.7016,2705.5825,806.84076,266.46194,1753.3375,7.5766487,gated_data.csv,,,,,,,,,,1,1,0.88729113,0.56783766,3.1358051,0.12500286,-0.008782406,,,,,,
73158.21,80280.73,175073.62,52727.934,53852.332,133557.52,-10.465038,210.61545,2015.9208,2603.9072,1606.0688,81.18694,11672.717,3193.6226,840.88824,16031.57,3313.418,13471.2295,7.7541685,gated_data.csv,,,,,,,,,,0,1,0.03859422,0.013350811,0.051255878,-0.017218193,-0.018719498,,,,,,
78794.71,86705.195,176438.0,32048.826,32977.855,117328.54,2.800574,294.48892,48.124844,759.6016,1491.4108,-20.788168,-36.023647,-8.397869,-35.42708,6682.4487,2226.0151,13190.83,7.7599845,gated_data.csv,,,,,,,,,,0,1,-0.059754126,0.018541293,0.14217836,-0.014145671,-0.021031592,,,,,,
50313.19,57625.54,148897.3,43809.348,45561.77,122281.81,85.57179,94.30338,631.1445,3013.7595,935.27704,20.103092,148.77737,660.49475,2665.3828,4761.5674,1098.4385,6524.364,7.7750726,gated_data.csv,,,,,,,,,,0,1,0.06813422,0.1333177,0.43428195,0.0030741931,-0.015979549,,,,,,
76855.35,80497.74,213516.6,43512.117,45625.23,117231.86,138.64674,172.45276,175.69234,2366.2422,1607.4983,46.42293,158.01251,21.56984,54.86324,30151.016,5936.167,14136.892,7.83748,gated_data.csv,,,,,,,,,,0,1,0.31954697,0.1849964,1.1556392,0.035788763,-0.0092214,,,,,,
74330.77,75327.19,201032.9,28462.855,29337.74,95163.96,-12.466547,104.93035,-175.16072,262.60583,1329.0026,-0.64246,-71.588394,3.8653166,-10.233469,1022.3317,865.443,11753.173,8.002225,gated_data.csv,,,,,,,,,,0,1,-0.10709237,-0.122306205,-0.13719304,-0.023207363,-0.016775386,,,,,,
58637.04,58608.21,214292.58,42079.438,44663.617,120217.33,31.88137,130.51889,354.5429,776.98615,1161.3333,-3.4876397,248.63777,135.31367,391.04865,868.1067,480.853,8137.393,8.046232,gated_data.csv,,,,,,,,,,0,1,-0.22375958,-0.23087041,-0.4658559,-0.039550114,-0.0196957,,,,,,
74983.97,75538.79,207189.45,32056.799,33501.996,107872.48,66.69627,249.14769,82.9377,96.87242,1153.4988,-11.83962,37.42242,5.488012,-69.98224,555.26227,977.8636,9532.539,8.070737,gated_data.csv,,,,,,,,,,0,1,0.25076985,0.107241556,1.3364803,0.06474392,-0.013409311,,,,,,
52583.074,53374.855,206394.53,31616.871,32454.066,107545.25,28.711643,23.667963,678.1116,3318.5037,948.5442,57.099434,91.37714,777.4224,2734.7686,1445.3767,337.41333,2707.4993,8.116232,gated_data.csv,,,,,,,,,,0,1,0.0075079887,0.06535197,0.0037078008,-0.006161869,-0.018554045,,,,,,
73390.65,75053.2,211304.28,35868.805,36125.676,111561.21,571.60535,2611.8562,2337.535,3362.7083,1267.8707,312.9548,629.9779,422.3557,453.45074,998.95605,652.6701,4441.81,8.134544,gated_data.csv,,,,,,,,,,0,1,0.108159184,-0.17417508,0.14973313,-0.01001903,-0.017378021,,,,,,
57211.2,61301.55,200132.7,33384.93,35146.645,112277.6,105.34785,43.20958,520.3813,3536.6108,696.75415,17.934942,-55.710457,649.0681,2745.4148,929.75323,434.8176,4098.351,8.181688,gated_data.csv,,,,,,,,,,0,1,0.09509269,0.003236708,0.5342915,0.0067490656,-0.014647008,,,,,,
