FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,CD4,CD8,CD25,FoxP3,BV786-A,CD3,PE-A,IL2,PerCP-Cy5-5-A,APC-A,CD44,APC-Cy7-A,Time
74768.4,80747.586,177171.25,31247.451,33352.72,110569.266,-81.2613,-38.257435,-22.988771,-74.39899,439.70074,-11.701949,15.323664,-10.187579,23.395662,606.4072,364.92526,4364.3984,6.5946403
47811.62,54323.797,131618.75,26195.484,26930.22,91102.83,145.93382,150.31328,557.48706,4637.784,1167.5665,55.53766,224.70372,677.1069,3032.4568,18199.432,3149.9514,4294.1084,6.5960646
77430.664,83562.695,186385.14,43638.305,45995.0,124473.5,97.64887,-5.947344,-52.21082,204.46896,1048.0477,-13.399879,63.622826,-50.937897,10.33488,1338.5555,924.5345,8473.622,6.6115203
76180.37,81677.06,191821.61,37564.523,38682.625,123620.02,65.104965,164.72888,-22.70284,292.93393,865.2813,-1.10136,-38.685265,-6.4704895,110.355736,878.92474,562.99554,6197.92,6.6318803
40888.66,40564.21,209201.8,39839.824,40427.176,120488.81,-73.712746,-45.86317,776.7574,3721.722,863.6229,-16.703959,198.95439,795.8702,3540.7805,6591.0117,999.2822,1457.8801,6.772793
48670.527,48780.746,203556.8,48307.49,49251.01,137604.05,120.65448,385.74936,458.40894,2410.2183,294.43134,34.364002,102.97421,506.4308,1735.1008,826.9004,60.50575,13.243897,6.912712
63278.2,63819.83,207447.61,33868.215,34145.188,113914.73,93.16785,148.95247,58.1785,303.92398,1008.07477,25.940779,-61.125477,-17.529978,-15.556708,879.46844,701.54156,10559.655,7.357688
57904.605,61396.383,193474.36,24616.484,25355.262,88192.27,2.0688784,90.4177,861.2211,3023.195,1022.7716,-1.5143698,613.31976,1028.3489,3511.732,2404.4312,315.18155,1145.516,7.3825364
77192.42,78119.04,208077.48,34389.633,34868.105,110582.48,76.28709,228.83786,16.664669,-98.245544,1449.0931,16.276428,30.754642,-54.150196,-115.642784,2202.857,1020.2659,12681.458,7.4713607
55856.082,57361.094,199746.84,27079.564,28424.002,110446.53,26.185507,210.26442,692.5224,5144.5664,742.2171,1.2691181,128.06865,1096.8168,3923.3193,3616.8125,752.58746,251.89516,7.5464563
43636.387,43835.83,213068.75,45414.39,47424.332,121248.21,115.89429,214.94304,593.5424,3231.4663,791.0539,-11.059489,208.03572,581.7016,2705.5825,806.84076,266.46194,1753.3375,7.5766487
73158.21,80280.73,175073.62,52727.934,53852.332,133557.52,-10.465038,210.61545,2015.9208,2603.9072,1606.0688,81.18694,11672.717,3193.6226,840.88824,16031.57,3313.418,13471.2295,7.7541685
78794.71,86705.195,176438.0,32048.826,32977.855,117328.54,2.800574,294.48892,48.124844,759.6016,1491.4108,-20.788168,-36.023647,-8.397869,-35.42708,6682.4487,2226.0151,13190.83,7.7599845
50313.19,57625.54,148897.3,43809.348,45561.77,122281.81,85.57179,94.30338,631.1445,3013.7595,935.27704,20.103092,148.77737,660.49475,2665.3828,4761.5674,1098.4385,6524.364,7.7750726
76855.35,80497.74,213516.6,43512.117,45625.23,117231.86,138.64674,172.45276,175.69234,2366.2422,1607.4983,46.42293,158.01251,21.56984,54.86324,30151.016,5936.167,14136.892,7.83748
74330.77,75327.19,201032.9,28462.855,29337.74,95163.96,-12.466547,104.93035,-175.16072,262.60583,1329.0026,-0.64246,-71.588394,3.8653166,-10.233469,1022.3317,865.443,11753.173,8.002225
58637.04,58608.21,214292.58,42079.438,44663.617,120217.33,31.88137,130.51889,354.5429,776.98615,1161.3333,-3.4876397,248.63777,135.31367,391.04865,868.1067,480.853,8137.393,8.046232
74983.97,75538.79,207189.45,32056.799,33501.996,107872.48,66.69627,249.14769,82.9377,96.87242,1153.4988,-11.83962,37.42242,5.488012,-69.98224,555.26227,977.8636,9532.539,8.070737
52583.074,53374.855,206394.53,31616.871,32454.066,107545.25,28.711643,23.667963,678.1116,3318.5037,948.5442,57.099434,91.37714,777.4224,2734.7686,1445.3767,337.41333,2707.4993,8.116232
73390.65,75053.2,211304.28,35868.805,36125.676,111561.21,571.60535,2611.8562,2337.535,3362.7083,1267.8707,312.9548,629.9779,422.3557,453.45074,998.95605,652.6701,4441.81,8.134544
57211.2,61301.55,200132.7,33384.93,35146.645,112277.6,105.34785,43.20958,520.3813,3536.6108,696.75415,17.934942,-55.710457,649.0681,2745.4148,929.75323,434.8176,4098.351,8.181688
42616.008,43537.78,202487.81,35022.953,35862.43,114979.73,24.67395,67.493065,805.236,2783.757,675.4238,3.6198683,100.11354,736.6721,2937.4187,2332.8909,330.91702,1296.2075,8.6024885
34773.14,34587.305,201319.12,43946.96,45760.375,126652.28,77.48598,216.52115,579.7625,2689.1716,542.72363,-7.4800696,77.11395,575.8277,2473.6543,659.30225,197.09926,1260.7634,8.650393
34586.625,34040.055,208437.06,54904.824,56403.23,131104.27,167.97305,13.993886,755.99884,2950.4543,1184.7795,23.802158,232.38867,851.48883,2294.0408,6687.7217,1246.9011,4445.4526,9.05924
24645.672,26185.127,154854.17,27619.6,29094.96,104399.45,33.471256,299.8414,200.19151,498.98352,207.39674,45.054344,128.73209,86.978584,162.48164,3223.8296,503.56696,2567.4082,9.07532
47976.414,47851.45,208204.16,38951.773,38707.832,132168.0,212.13635,1031.4639,626.09143,1346.2156,987.3163,173.00113,252.0457,147.73956,155.56429,1695.6051,656.095,3934.4495,9.1350565
59652.09,60267.58,209412.88,41528.965,42820.812,123859.21,77.66579,37.300613,750.2231,3456.8364,1301.2673,7.9556823,583.9502,832.4905,2619.7224,2295.0005,1225.863,8242.258,9.16736
54187.043,53517.957,213399.97,46064.336,47068.395,121932.09,63.18615,113.27444,740.50146,3320.1045,1048.105,46.31756,131.81105,1064.0514,3246.5337,1605.201,414.79468,5545.7393,9.296529
76824.74,76304.41,216607.47,44449.66,44530.84,120964.195,-29.107672,38.06879,612.8946,3767.0706,1668.3444,17.431866,199.56042,850.66284,2969.1746,2882.6536,1014.39484,9836.586,9.374753
74073.77,75115.07,195943.84,25151.828,26501.104,100946.37,-8.234783,159.35703,67.89175,-26.362743,-21.273191,-4.0383196,36.435886,-18.769009,-49.836533,24.17357,-65.07131,3.1263967,9.4930725
77922.11,77622.84,218090.33,47968.492,50677.457,128878.54,226.73843,41.342106,-0.28592998,592.0254,1144.6921,7.411861,133.56271,27.933424,-108.75929,8474.329,2195.7354,8573.268,9.600208
59046.465,60549.0,217719.39,50360.78,51874.33,127399.9,372.49603,2324.382,2438.125,5373.597,1095.3978,264.2727,1071.3479,1976.1151,3500.076,3350.9277,606.66223,613.5295,9.6163845
51282.562,51693.234,205230.7,31831.309,33087.723,111780.016,79.28383,-129.24036,519.99603,3514.4226,2566.7935,21.772432,185.03873,669.62683,2328.229,14902.689,3620.0195,15520.731,9.8297205
78900.23,79354.47,220756.53,52792.19,56813.7,138027.72,-5.775786,227.26338,16.167023,192.03746,396.59784,18.690367,24.666878,24.565083,25.736776,771.23364,442.5487,4883.882,10.091057
74991.69,74001.32,219898.17,48215.633,49417.953,129519.55,108.80595,28.648384,-7.43418,87.54656,1218.9768,11.130171,95.29392,107.78551,108.4044,1427.7634,788.03156,11238.202,10.139521
54826.82,56686.453,205380.2,33300.11,35630.5,114048.62,117.14423,92.33099,731.0658,2782.7852,474.76852,3.374529,146.74869,701.10736,2374.4402,578.062,91.35038,1663.2596,10.148025
78846.09,76713.305,216952.06,46110.016,47500.312,128311.02,159.82947,146.99942,-54.38388,-15.325848,609.33307,5.143407,146.18236,46.370243,-28.268238,490.6015,434.76462,7460.4775,10.185168
60801.594,60832.344,216979.44,51748.215,53036.992,129204.92,151.37802,21.84813,582.7498,3980.4314,829.2542,14.872899,55.489487,570.4585,1995.3429,20205.672,3135.4915,4806.0356,10.191
32238.572,33066.547,194016.02,29288.705,30199.508,113634.01,180.98932,1322.5405,1193.9865,1946.6686,1403.2872,118.104996,394.3819,217.09755,366.42743,629.94684,447.30804,4034.5842,10.527841
